Name,Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
Barbara Joseph,19,Male,8th,5.4,4.7,91,2,1.9,4,10,1,1,1.1,126,13,5.0,1.4,2.6,Social Media,3,3.8,10.0
Derek Boyd,17,Male,12th,2.3,7.1,64,5,0.7,4,5,8,1,1.5,140,18,2.7,0.4,0.6,Other,1,4.5,8.2
Terri Ruiz,19,Female,7th,5.0,6.5,55,7,1.2,8,9,7,1,1.1,32,9,1.8,3.3,0.0,Gaming,3,6.4,9.3
Mr. Zachary Randall,17,Male,10th,4.2,7.9,67,3,0.7,9,7,1,1,0.8,56,19,2.4,1.0,0.7,Social Media,10,7.4,8.6
Mrs. Sarah Adams,15,Female,12th,0.2,5.4,78,4,1.0,9,8,4,0,1.5,102,14,1.6,0.3,0.4,Social Media,2,7.7,4.2
Olivia Walker,15,Male,9th,8.6,7.4,68,1,1.3,5,5,9,0,0.5,31,5,3.9,2.7,1.5,Browsing,7,4.4,10.0
Maurice Burns,18,Female,10th,4.2,7.0,96,6,0.9,5,9,7,1,0.4,128,8,1.4,1.0,0.7,Social Media,9,8.1,7.3
Danny Griffin,19,Other,10th,4.3,6.0,59,8,0.0,10,2,8,1,0.6,20,19,3.4,2.3,1.6,Gaming,3,6.5,10.0
Ivan Dillon,17,Female,7th,5.4,5.1,75,10,0.3,2,2,7,0,1.0,66,19,2.6,0.8,1.6,Social Media,3,2.8,10.0
Charles Hendricks,13,Male,9th,6.3,5.3,82,7,0.5,3,6,8,1,0.4,45,19,2.5,3.0,0.2,Browsing,1,3.7,10.0
Robert Bond,17,Male,9th,7.2,8.4,97,4,1.7,9,4,5,1,1.2,33,11,2.4,4.0,1.6,Other,5,4.8,10.0
Michelle Sweeney,13,Female,7th,6.7,6.6,68,5,0.1,3,3,5,1,1.4,134,14,2.6,2.0,1.6,Other,8,4.8,10.0
Timothy Williams,16,Female,9th,7.3,7.1,84,1,0.5,4,2,10,1,1.5,92,13,2.9,2.3,1.0,Other,10,6.0,10.0
Karen Bailey,14,Female,7th,5.2,5.3,80,9,0.8,10,2,8,1,1.1,80,14,4.4,3.2,1.8,Gaming,8,8.8,10.0
Maxwell Garza,18,Female,8th,5.7,9.9,91,9,0.8,5,7,7,0,0.9,29,14,1.4,2.8,1.5,Education,3,9.2,8.3
Kenneth Gray,16,Other,12th,4.6,8.8,96,1,1.5,3,8,9,1,1.0,25,14,1.3,2.3,1.2,Social Media,2,5.0,7.1
Grace Zimmerman,16,Male,9th,3.0,7.8,62,4,0.0,2,7,6,1,0.6,36,14,1.7,2.0,0.6,Browsing,8,10.6,6.3
Tara Berry,13,Female,7th,3.1,6.8,53,10,1.4,2,7,9,1,0.4,33,15,2.6,1.4,1.1,Other,9,6.8,7.4
Steven Gardner,13,Female,10th,4.3,6.5,88,4,0.4,1,4,7,1,1.7,82,9,4.1,2.0,1.3,Other,7,2.8,10.0
Courtney Adams,18,Male,10th,4.4,7.0,76,8,0.7,2,7,5,0,1.4,111,20,4.8,1.4,1.0,Other,8,5.7,10.0
Julia Rogers,16,Female,8th,10.5,8.0,97,10,2.2,7,9,8,0,1.0,128,16,1.9,0.0,0.9,Social Media,10,3.7,10.0
Margaret Williams,16,Male,9th,2.1,7.6,95,10,1.4,9,4,10,1,1.1,145,11,1.0,1.5,1.0,Education,4,0.9,5.9
Mariah Walsh,18,Other,10th,5.4,4.2,80,10,0.7,10,5,6,1,1.0,129,20,3.9,1.4,0.3,Education,3,5.3,10.0
Eric Williams,13,Other,7th,4.4,5.2,72,10,1.4,1,9,10,1,0.0,145,13,2.6,0.8,1.8,Other,2,3.3,10.0
Lauren Martinez,14,Male,10th,1.9,4.6,56,1,2.6,6,6,1,0,1.0,101,15,2.1,2.4,1.8,Browsing,6,7.0,9.1
Deborah Goodman,15,Other,7th,6.4,5.8,86,9,0.4,5,6,1,0,0.7,101,14,2.7,1.3,1.7,Browsing,1,5.1,10.0
Joseph Arnold,16,Other,8th,4.9,7.1,66,7,2.1,10,1,6,0,0.6,40,18,4.3,3.1,1.2,Browsing,4,5.2,10.0
Kristina Morgan,16,Female,12th,4.3,7.3,95,9,2.1,4,3,3,1,0.7,130,16,3.8,0.6,2.5,Browsing,7,6.2,10.0
Mckenzie Ball,17,Female,9th,6.1,6.6,52,10,0.9,7,4,1,0,0.9,39,18,3.6,1.1,1.0,Education,2,4.1,10.0
Joseph Rodgers,19,Male,7th,3.9,7.7,58,9,0.0,4,7,7,1,0.9,51,16,2.7,1.4,0.8,Education,9,3.4,8.4
Dustin Wood,17,Male,12th,6.2,8.3,59,2,1.0,3,1,9,0,0.8,123,16,2.7,2.1,0.8,Gaming,9,7.5,10.0
Katherine Estrada,19,Other,7th,3.2,4.2,67,5,0.1,7,2,3,1,1.5,89,9,3.1,1.1,0.9,Other,9,0.7,8.9
Rachael Brown,16,Female,12th,3.9,6.3,59,2,0.7,5,2,2,1,1.2,120,18,5.0,4.0,2.5,Education,10,4.3,10.0
Brian Alvarez,16,Female,11th,9.1,5.8,99,8,2.2,4,7,1,0,1.7,36,16,2.2,2.6,0.0,Social Media,9,7.6,10.0
Brittney Myers,17,Male,10th,2.8,6.4,68,10,0.0,1,7,5,0,1.3,108,17,1.9,0.9,0.6,Social Media,1,4.4,8.0
Kenneth Rios,18,Male,12th,8.0,7.5,76,5,0.0,2,4,3,1,0.6,83,9,3.4,1.3,0.7,Social Media,8,5.9,10.0
Steven Hill,19,Other,8th,6.7,5.9,72,1,1.1,1,3,10,0,1.6,75,16,2.3,2.7,0.3,Education,5,9.3,10.0
Mitchell Kline,15,Other,10th,5.7,6.7,74,5,1.1,1,6,10,0,1.7,54,5,2.1,3.9,1.0,Gaming,8,4.9,10.0
Shannon Ford,17,Male,11th,7.0,7.0,98,3,1.8,5,1,5,1,0.4,119,15,2.3,1.8,1.9,Social Media,5,5.6,10.0
Charlotte Hudson,16,Other,9th,7.4,5.4,80,10,0.6,3,9,2,1,0.8,148,19,4.0,0.6,0.5,Other,6,6.2,10.0
Teresa Thompson,16,Male,10th,6.8,4.6,87,3,0.0,2,4,6,1,1.1,55,6,4.9,2.2,0.8,Gaming,9,5.6,10.0
Linda Matthews,19,Female,7th,8.1,6.9,78,4,0.0,4,1,4,0,0.2,103,12,1.7,1.2,0.4,Other,2,6.8,10.0
Gregory Washington,15,Other,10th,4.7,6.8,86,8,1.1,4,2,4,1,0.4,105,5,1.8,0.9,0.7,Browsing,7,4.6,7.1
Matthew Miles,14,Male,8th,7.5,7.8,71,9,0.2,9,7,1,0,1.3,22,8,1.0,0.1,1.5,Browsing,8,9.0,6.7
Judith Snyder,13,Male,10th,3.7,5.8,67,8,1.5,8,1,5,0,1.0,60,20,2.7,1.0,1.5,Social Media,10,8.6,9.7
Scott Ramirez,14,Female,7th,5.3,3.4,83,1,0.6,3,6,4,0,1.9,144,12,2.2,1.6,1.1,Browsing,7,4.9,10.0
Alfred Crawford,17,Other,11th,5.2,7.8,75,8,4.0,5,9,4,1,1.4,134,15,1.5,1.8,0.2,Other,6,5.7,10.0
Jose Williams,16,Female,8th,2.4,4.2,53,10,1.1,4,7,4,0,0.8,108,10,1.9,1.6,1.1,Browsing,8,3.9,8.0
Jerry Acosta,18,Other,11th,0.5,5.3,89,8,1.3,10,9,4,0,0.4,43,5,1.7,1.0,1.1,Social Media,1,5.3,2.4
Lori Henry,16,Male,8th,7.6,7.9,87,4,0.2,9,3,4,1,0.6,146,14,2.8,1.1,1.9,Education,2,6.4,10.0
Darin Macias,14,Female,9th,7.0,7.1,52,2,0.8,9,4,5,1,1.3,148,6,3.4,0.1,1.2,Browsing,10,5.7,10.0
Dennis Mcneil,19,Female,8th,3.6,7.8,59,9,0.3,1,7,1,1,1.7,85,16,4.0,1.2,0.7,Other,5,8.1,9.8
Susan Martinez,17,Other,10th,6.2,6.3,67,8,1.7,9,6,9,1,1.6,47,20,0.0,1.1,0.5,Education,6,6.2,9.1
Christopher Jackson,16,Male,11th,8.3,6.9,97,0,0.8,7,9,2,0,1.3,70,7,2.7,1.9,0.8,Gaming,4,3.7,10.0
Grant Salinas,15,Female,11th,6.6,5.9,65,2,1.1,2,7,4,0,0.9,113,16,2.4,2.0,0.7,Other,3,7.0,10.0
Megan Williams,13,Female,7th,6.7,5.2,75,6,2.0,8,4,7,0,0.1,122,16,2.6,1.7,0.5,Other,4,4.2,10.0
Margaret Martinez,14,Male,7th,4.7,7.9,82,8,0.7,4,6,7,1,1.0,39,15,3.2,2.0,1.0,Education,5,5.5,9.7
Monica Lara,16,Female,8th,5.5,5.3,93,1,0.9,5,10,8,1,0.6,44,18,2.0,0.6,1.1,Browsing,10,5.9,9.9
Andrea Davis,19,Female,10th,4.9,5.9,88,8,0.9,4,8,1,0,1.3,21,20,3.6,0.7,0.5,Education,9,4.6,10.0
Brian Garcia,15,Female,7th,6.7,6.5,56,2,0.8,3,7,8,0,1.1,72,5,2.8,1.2,0.0,Social Media,3,5.1,9.9
Mitchell York,18,Female,7th,7.3,6.6,50,4,2.5,9,10,7,1,1.0,35,15,2.7,0.8,1.0,Education,4,4.5,10.0
Brandon Chandler,17,Other,10th,4.7,5.0,89,9,0.2,9,2,10,1,0.9,39,8,2.5,1.6,0.7,Browsing,2,5.7,8.7
Tyrone Perkins,14,Male,11th,5.3,6.8,84,3,1.0,6,4,1,1,1.5,106,11,1.9,1.7,1.4,Social Media,5,6.2,9.8
David Frost,13,Other,10th,7.3,8.1,76,0,2.4,1,1,5,1,1.5,51,8,1.9,1.5,1.6,Social Media,2,4.9,9.3
Jessica Jones,15,Other,7th,5.5,5.3,69,0,0.0,1,7,1,1,0.0,45,12,1.9,1.3,0.9,Social Media,9,6.6,9.4
John Garcia,14,Male,8th,2.6,7.2,73,3,0.6,8,9,1,0,0.0,107,9,4.6,1.5,1.4,Education,8,5.9,9.0
Louis Robinson,13,Male,7th,2.4,7.1,52,1,2.3,5,4,7,0,0.5,81,18,2.4,0.7,0.7,Browsing,1,3.5,7.2
Makayla Parker,13,Male,12th,4.3,5.8,100,10,0.4,2,1,9,1,0.9,126,15,3.4,1.3,1.2,Other,8,5.0,10.0
Brooke Gay,13,Female,12th,1.1,6.8,77,9,1.9,3,9,4,1,1.6,38,19,4.2,3.8,0.0,Education,2,3.7,10.0
Jason Whitaker,16,Female,9th,5.7,8.6,55,0,0.3,5,6,5,1,1.3,121,6,2.0,2.1,1.7,Other,4,4.4,9.1
Mary Warner,14,Other,12th,6.9,7.9,52,4,3.3,10,2,5,1,0.9,92,10,3.3,1.8,0.9,Social Media,4,7.9,10.0
James Garcia,15,Other,9th,2.9,5.9,92,4,1.2,5,9,6,1,0.8,45,6,2.1,0.1,1.3,Browsing,4,4.3,4.2
Patrick Flowers,15,Female,12th,4.6,7.4,60,2,0.0,3,9,4,1,0.3,150,6,3.6,2.5,1.9,Social Media,4,3.7,10.0
Stephanie Diaz,15,Other,11th,5.3,5.9,96,2,0.9,8,3,8,0,0.9,51,15,4.4,1.3,0.2,Gaming,5,10.2,10.0
Megan Hill,14,Male,9th,3.9,3.7,85,8,0.7,8,2,6,1,1.1,39,19,2.1,1.9,0.8,Browsing,2,6.2,10.0
James Sullivan,13,Male,7th,5.1,5.5,80,10,1.7,6,6,6,1,0.9,77,6,3.7,1.2,1.0,Browsing,2,4.8,10.0
Robert Estes,16,Female,7th,4.0,5.1,79,10,0.9,8,9,1,1,2.0,81,17,2.5,2.0,1.0,Gaming,2,6.0,10.0
Debbie Small,13,Female,11th,8.8,7.7,62,5,1.7,8,6,3,1,0.6,34,18,3.2,1.2,1.5,Gaming,6,5.6,10.0
Angela Chandler,14,Other,10th,1.0,5.9,74,4,1.7,10,6,8,1,1.1,92,20,1.9,2.8,1.7,Social Media,2,5.0,8.6
Russell Booker,18,Female,8th,5.7,6.2,52,9,1.3,2,8,10,1,1.9,82,5,2.3,1.8,0.7,Gaming,9,4.1,9.3
Jeffery Thomas,18,Female,7th,5.4,7.0,90,9,0.2,10,10,1,1,1.3,47,17,4.7,1.0,0.8,Gaming,6,9.5,10.0
Christopher Miller,13,Female,10th,4.4,7.6,69,4,1.8,2,7,10,1,2.4,73,17,2.7,1.7,0.0,Browsing,2,3.3,9.9
Terry Walker,14,Male,10th,6.3,4.4,52,6,0.6,2,1,5,1,0.7,74,7,2.8,1.0,1.5,Browsing,2,6.9,10.0
Alex Martin,17,Female,12th,7.8,4.6,56,0,1.5,6,10,9,1,0.6,126,6,0.9,2.1,0.9,Other,4,8.2,10.0
Caleb Garrett,18,Female,8th,2.9,4.9,84,5,0.3,5,1,7,0,1.6,74,9,1.9,1.4,0.8,Other,3,8.8,7.0
Donald Horne,16,Female,11th,4.1,6.7,82,0,0.6,8,6,1,0,1.3,150,6,1.6,0.5,0.2,Social Media,6,3.4,7.0
Sandra Barton,17,Female,12th,5.5,5.5,62,8,0.8,9,4,7,0,0.7,67,18,3.8,2.9,0.0,Social Media,7,6.7,10.0
Daniel Jones,19,Male,12th,8.5,6.7,69,1,1.7,5,2,6,1,1.0,47,10,1.7,1.7,0.9,Education,7,10.4,10.0
Margaret Garcia,17,Other,10th,3.3,8.0,69,4,1.2,9,9,1,1,0.6,112,6,0.8,2.1,0.9,Other,8,4.2,5.6
William Vaughn,14,Other,7th,3.9,5.8,95,6,1.7,1,6,8,1,0.4,83,19,2.0,1.2,0.0,Browsing,1,4.6,9.7
Maria Jackson,19,Other,12th,5.6,5.2,73,2,3.0,2,1,1,1,0.5,98,11,2.2,0.8,0.3,Other,1,7.8,10.0
Samuel Williams,14,Male,12th,0.0,7.0,89,7,1.7,1,4,10,0,1.5,60,7,2.7,0.3,0.9,Education,8,4.4,2.1
Laura Clements,13,Other,12th,4.4,5.4,69,9,0.9,2,8,1,1,1.2,142,18,3.4,1.6,1.1,Browsing,9,6.6,10.0
Daniel Schmitt,16,Male,10th,5.9,5.0,54,3,0.5,7,10,5,0,1.0,53,10,2.8,0.8,0.0,Education,9,6.1,10.0
Sandra Edwards,14,Female,10th,3.5,8.0,63,9,1.3,6,7,8,1,0.7,35,13,2.4,0.0,0.5,Browsing,3,4.7,5.2
Shawn Underwood,13,Female,11th,4.8,9.5,64,2,1.4,3,1,7,1,0.7,40,17,3.1,3.1,1.5,Education,5,6.6,10.0
Meredith Norris,14,Male,11th,3.1,5.6,52,5,0.2,10,2,10,1,1.2,31,6,3.7,3.5,2.2,Education,9,4.2,9.3
Julia Harris,19,Other,10th,3.0,6.1,77,8,0.4,9,5,7,1,0.6,141,13,1.9,2.6,0.6,Gaming,10,3.1,9.9
Samantha Russell,16,Other,8th,3.8,5.2,87,9,2.6,2,8,4,1,0.7,60,13,1.0,1.1,1.1,Education,6,8.7,7.1
Katherine Montgomery,17,Male,8th,4.9,7.7,87,7,0.0,5,5,6,1,1.4,86,11,1.3,2.8,1.0,Browsing,7,7.4,9.1
Edward Gilbert,17,Male,10th,8.4,9.3,84,7,1.0,8,3,2,1,1.6,28,7,2.0,1.2,1.0,Social Media,8,5.0,8.9
Francisco Sanchez,14,Other,10th,2.4,3.4,53,2,1.2,2,4,8,1,1.4,126,5,2.5,2.0,0.1,Browsing,1,6.0,8.7
Kelly Stanley,13,Female,7th,4.6,8.7,98,7,1.2,4,6,1,0,1.4,122,10,3.8,1.9,0.2,Browsing,5,9.5,10.0
Lawrence Fuller,17,Male,7th,5.3,8.4,67,10,0.7,9,4,8,1,0.5,70,18,3.4,0.9,0.7,Education,10,4.9,10.0
Veronica Evans,15,Male,9th,5.6,5.3,73,5,0.6,5,4,9,1,2.0,100,9,2.7,0.0,1.1,Social Media,1,7.8,9.5
Joshua Young,13,Male,8th,5.7,5.6,67,9,0.5,10,8,2,1,0.8,126,9,2.7,0.6,0.3,Education,1,8.5,10.0
Christopher Garcia,16,Male,10th,2.5,10.0,60,5,1.4,7,10,9,0,0.6,133,17,2.9,1.5,0.1,Gaming,6,6.1,8.0
Charles Wolfe,19,Other,12th,3.2,8.5,58,3,1.9,1,3,3,1,0.7,71,11,2.5,0.0,1.5,Browsing,6,5.3,5.1
Daniel Hines,17,Female,12th,6.6,5.5,68,2,2.0,4,2,9,1,1.4,138,19,3.6,0.5,2.1,Browsing,3,6.7,10.0
Joshua Howard,13,Other,12th,2.8,6.0,79,8,0.7,1,8,4,1,0.6,78,5,2.2,1.3,0.4,Gaming,4,6.7,5.9
Hector Mendez,15,Other,7th,4.6,5.1,51,2,1.0,8,7,6,1,1.3,89,17,2.8,0.8,2.1,Gaming,7,6.8,10.0
Zachary Perkins,18,Male,9th,6.4,7.3,84,3,0.2,10,6,1,1,0.0,52,12,1.0,2.4,0.0,Gaming,6,9.2,9.6
John Weber,13,Female,10th,3.7,5.7,90,6,0.8,3,6,7,0,0.6,117,20,3.2,1.3,1.6,Other,10,5.5,10.0
Jacqueline Fisher,14,Other,11th,6.0,7.5,63,0,0.8,8,10,6,1,0.7,66,16,2.4,1.5,0.7,Other,5,3.8,10.0
Kristin Palmer,19,Male,8th,6.5,6.9,88,7,1.2,7,5,2,1,1.2,93,19,2.3,2.3,1.7,Gaming,3,6.1,10.0
Joel Roy,17,Male,12th,4.7,5.5,68,5,0.3,8,1,6,0,1.5,77,8,1.9,1.3,0.0,Social Media,1,5.5,8.3
Nathan Davis,17,Other,8th,4.4,7.8,55,9,1.5,5,3,9,1,1.1,131,15,0.3,1.5,1.4,Social Media,5,7.5,7.9
Marc Young,15,Male,12th,3.8,4.3,89,2,0.0,5,6,1,1,0.9,56,19,2.7,1.9,1.9,Other,1,5.0,10.0
Daniel Reyes,17,Other,12th,9.3,6.9,88,2,0.7,6,2,3,0,1.2,106,9,2.0,0.3,0.9,Gaming,8,8.6,10.0
Ryan Gonzalez,14,Female,8th,3.8,6.2,95,4,0.8,7,1,2,0,1.5,32,9,3.1,1.6,1.4,Gaming,5,2.1,7.8
Caroline Bowers,14,Male,11th,4.8,6.4,77,5,0.2,7,3,2,0,1.0,62,18,2.9,1.1,0.1,Education,9,6.1,10.0
Shane Walker,18,Male,10th,4.9,7.0,94,3,1.3,6,9,8,0,0.6,109,13,2.3,0.0,0.0,Gaming,6,5.4,8.5
Emily Montgomery,13,Other,11th,5.7,6.0,74,1,0.4,8,3,9,1,1.0,63,20,2.6,0.0,1.7,Browsing,8,3.3,10.0
Jody Quinn,16,Female,12th,5.4,4.9,88,8,1.3,1,7,9,0,1.7,131,8,2.9,1.7,0.2,Gaming,2,5.4,10.0
William Johnson,14,Male,11th,6.6,8.0,81,8,1.4,6,4,1,0,0.7,87,17,3.8,2.6,1.0,Browsing,4,7.1,10.0
Samuel Fischer,17,Other,11th,6.5,6.0,64,10,0.0,4,5,1,1,1.1,50,6,3.0,1.6,0.2,Education,2,6.2,10.0
Dana Rodriguez,19,Female,8th,7.0,5.3,59,5,0.4,10,8,9,0,0.8,134,11,2.4,1.5,0.4,Other,10,3.5,10.0
Caitlyn Baker,17,Female,9th,4.1,6.8,62,10,1.5,3,8,10,1,1.0,127,15,4.2,1.5,0.3,Education,10,5.3,10.0
Krystal Gomez,19,Female,9th,3.2,4.3,82,6,0.6,10,3,4,1,1.0,23,11,2.6,2.5,0.9,Education,9,6.9,8.8
Jennifer White,17,Other,10th,5.0,7.2,80,8,0.2,4,4,1,1,1.7,122,16,2.0,2.2,1.2,Social Media,7,7.4,10.0
Jessica Harris,18,Other,9th,4.3,4.0,95,6,1.3,8,6,8,1,0.5,24,13,3.5,2.0,0.0,Gaming,8,6.9,10.0
Nicholas Villa,17,Other,10th,5.4,7.8,77,7,0.0,5,4,7,1,1.4,120,12,4.3,0.0,0.4,Gaming,10,3.1,10.0
Kurt Brown,13,Male,9th,3.7,4.2,85,7,1.7,7,2,10,0,2.0,132,6,1.4,1.1,0.1,Browsing,9,2.0,7.9
Steven Peterson,16,Other,9th,5.2,6.1,93,6,0.6,8,8,5,1,0.9,93,11,4.2,2.4,0.3,Social Media,4,9.3,10.0
Erika Jones,13,Male,8th,2.5,7.6,90,7,0.1,5,2,10,1,1.0,61,7,2.6,1.9,2.4,Browsing,3,2.1,5.8
Anthony Allen,18,Female,12th,4.0,5.7,55,0,1.4,4,5,2,1,1.3,48,18,2.7,3.0,0.7,Other,8,8.3,10.0
Brittany Klein,18,Male,8th,7.6,7.0,61,7,2.7,10,3,7,0,1.6,121,5,3.1,1.7,1.9,Social Media,10,11.6,10.0
Daniel Burgess,17,Female,12th,4.9,4.7,79,8,1.0,3,4,2,1,1.3,122,12,2.3,1.2,0.6,Gaming,10,5.0,10.0
Paul Rodriguez,14,Male,11th,2.8,4.4,60,8,0.0,2,4,7,1,1.2,95,9,2.8,0.4,0.5,Gaming,10,8.1,7.5
Philip Patel,13,Female,11th,0.0,4.5,63,5,0.4,5,10,9,1,0.8,141,18,3.3,0.0,1.0,Social Media,1,6.1,7.5
Ronald Simmons,16,Female,9th,2.9,6.7,64,8,0.0,5,7,9,0,1.5,115,14,3.4,1.2,0.4,Other,3,5.1,9.2
Gabriella Winters DDS,17,Other,11th,4.1,7.1,80,3,0.0,10,8,6,1,0.7,121,17,1.0,0.4,1.1,Browsing,6,6.2,7.8
Dawn Solis,16,Male,10th,8.3,5.7,98,8,0.9,3,9,10,0,1.4,83,7,4.5,0.0,0.8,Other,3,6.1,10.0
Theresa Russell,16,Female,9th,0.6,5.7,72,7,0.5,7,2,7,0,1.8,26,7,4.4,2.0,1.0,Social Media,5,4.5,6.1
Steven Morgan,19,Female,7th,5.6,4.7,98,10,0.9,5,5,4,0,0.8,108,16,4.2,3.0,0.4,Other,2,9.1,10.0
Joseph Reynolds,14,Other,12th,6.5,5.6,83,0,1.5,10,4,3,0,1.5,64,11,2.2,2.7,1.0,Social Media,2,7.3,10.0
Jacqueline Holland,17,Male,10th,5.3,6.1,54,4,1.3,3,4,3,0,0.7,146,6,2.3,2.4,1.1,Browsing,9,8.0,10.0
Robert Lee,17,Male,9th,4.0,7.5,52,1,1.4,7,4,5,1,0.7,67,14,2.4,1.8,0.5,Education,8,6.9,8.6
Pamela Johnson,15,Male,8th,11.0,7.7,59,2,0.4,7,7,2,0,2.1,81,10,1.6,1.6,1.4,Browsing,8,6.2,10.0
Lori Johnson,15,Other,7th,6.3,7.5,83,5,1.3,8,10,4,0,1.6,40,14,4.4,1.3,1.2,Education,2,5.7,10.0
Annette Thomas,14,Female,8th,0.3,5.8,64,7,0.4,4,9,2,0,0.0,43,18,2.0,1.1,0.7,Social Media,6,2.7,5.0
Steven Sanchez,16,Male,12th,4.8,4.7,61,3,0.6,10,1,1,1,1.7,26,12,1.4,2.5,0.9,Education,10,2.9,9.3
Nicole Martinez,19,Other,8th,4.4,9.1,100,6,0.5,6,2,6,1,1.4,109,11,4.1,0.7,0.8,Education,5,7.2,9.0
Lisa Patel,19,Male,7th,6.3,4.3,57,3,1.3,8,7,8,0,0.5,53,15,2.0,2.0,1.1,Education,7,7.8,10.0
Bobby Mccarty,17,Male,7th,6.4,7.3,66,1,2.2,8,7,8,0,0.5,144,11,1.9,0.4,1.9,Browsing,4,3.9,10.0
Cassandra Ortiz,18,Male,10th,4.7,6.4,88,0,1.0,6,8,6,0,1.3,99,13,2.8,1.3,1.6,Other,7,3.6,10.0
William Rich,17,Female,12th,4.2,4.1,74,4,1.1,10,6,1,0,0.6,131,11,2.4,1.5,1.1,Browsing,6,12.4,10.0
Lisa Sweeney,14,Male,9th,5.9,6.3,89,0,0.7,3,6,9,1,1.3,54,19,3.0,2.3,1.4,Browsing,8,7.5,10.0
Scott Harris,19,Other,7th,8.1,8.2,86,0,1.0,3,6,2,1,1.1,73,19,1.8,2.0,0.0,Education,6,5.9,10.0
Heather Cunningham,19,Female,11th,6.4,5.2,97,7,1.9,5,2,2,0,1.2,55,13,1.6,0.8,1.1,Browsing,5,6.7,9.9
Kristen Sosa,18,Female,8th,5.1,4.2,82,8,0.2,1,7,8,0,1.3,127,20,2.2,2.2,1.5,Other,9,3.2,10.0
Matthew Livingston III,19,Other,7th,5.3,10.0,60,6,2.2,6,1,7,0,1.4,93,17,2.3,0.4,0.5,Other,3,6.3,8.3
Mary Ruiz,15,Male,11th,5.6,7.7,75,9,0.0,3,9,5,1,0.2,72,14,2.0,1.9,0.7,Browsing,3,3.1,9.9
Andrea Young,14,Male,10th,6.7,5.2,84,6,1.2,2,10,7,0,1.9,60,19,1.4,1.1,1.4,Browsing,1,3.6,10.0
Cindy Adams,17,Female,10th,3.8,7.0,96,6,1.1,4,5,10,0,1.6,122,8,2.0,0.1,0.7,Browsing,1,9.6,6.4
Mr. Angel Hansen,13,Other,12th,3.5,6.6,88,9,1.5,8,6,4,1,0.5,130,20,3.9,2.9,1.3,Social Media,10,5.5,10.0
Michelle Jackson,18,Female,12th,4.5,7.6,93,1,1.2,3,9,1,1,1.3,70,13,1.7,1.2,0.7,Social Media,4,5.4,7.6
Brandon Vargas,18,Female,8th,7.8,7.8,69,2,0.0,4,8,8,0,1.5,68,17,0.4,3.0,1.0,Browsing,2,5.8,10.0
Elizabeth Torres,16,Male,8th,4.1,6.6,80,9,1.8,8,5,2,0,0.2,73,16,3.7,1.6,2.6,Education,9,4.9,10.0
Maria Ellis,16,Other,11th,6.3,4.4,74,7,1.9,8,10,6,1,0.7,129,10,1.5,1.6,0.4,Browsing,10,6.7,10.0
Brett Bowman,17,Female,10th,5.4,6.1,69,9,1.4,4,7,1,0,0.9,132,11,3.8,1.2,0.7,Browsing,7,6.5,10.0
Jessica Soto,13,Other,11th,2.4,5.6,79,10,1.5,5,2,3,1,0.4,34,12,1.4,3.8,1.1,Gaming,5,5.9,7.9
Kimberly Clements,16,Other,7th,0.0,7.6,71,6,0.8,6,8,6,0,1.7,98,5,2.2,0.0,1.3,Social Media,3,11.1,1.4
Matthew Smith,15,Male,9th,0.3,6.5,56,2,2.0,1,1,1,0,1.3,135,16,1.1,0.0,1.0,Browsing,2,5.0,4.1
Jerry Taylor,15,Male,12th,5.2,8.2,91,9,0.4,6,7,7,1,1.0,91,8,1.8,0.0,1.0,Other,6,6.1,6.3
Shelley Olson,16,Female,10th,4.4,9.5,84,5,0.9,1,2,10,0,0.9,71,13,3.2,1.9,0.0,Education,4,7.9,8.8
Dennis Swanson,17,Other,11th,4.5,9.1,78,1,1.3,4,8,3,0,1.7,133,20,3.8,1.6,1.5,Browsing,9,4.3,10.0
Megan Dominguez,15,Other,8th,4.6,7.1,82,6,0.0,6,9,6,1,0.9,79,20,3.4,0.9,0.0,Other,6,8.3,10.0
Stephanie Diaz,17,Other,12th,6.0,6.1,71,8,1.9,9,10,6,0,0.6,99,17,4.7,0.0,0.7,Education,9,3.5,10.0
Anthony Wilson,15,Female,9th,5.8,9.9,50,7,2.2,5,7,6,0,1.2,137,12,3.1,1.1,1.3,Social Media,6,4.1,10.0
Michael Wheeler,13,Other,8th,5.3,8.7,85,2,1.6,5,4,4,0,1.2,58,11,0.7,0.3,0.0,Gaming,2,6.8,5.3
Mr. Jorge Patton,17,Other,8th,5.5,7.3,66,4,2.3,1,8,1,1,0.5,89,7,3.3,3.8,1.1,Education,10,7.7,10.0
Jennifer Wilson,14,Other,9th,4.9,5.7,95,7,0.0,8,2,2,0,0.8,88,17,3.5,3.1,0.7,Social Media,8,5.4,10.0
Robert Powell,13,Female,8th,5.6,8.3,94,2,0.0,4,6,9,0,1.0,144,5,1.8,0.9,1.8,Social Media,9,5.7,8.0
